age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
59,M,ECZD5B0,City,0,12-07-2015,0,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,18:42:54,19,114.03,29382.79,27,691.17,1,No,0,1,2,1
61,M,VUBCL6B,,1,28-03-2015,1,CID55562,Without Offers,Both,Fiber_Optic,19:39:45,18,638.82,7374.64,14,679.49,0,Yes,1,2,2,1
36,M,22DIA8B,,2,17-04-2015,1,CID21810,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,1:06:50,19,89.51,18849.45,15,1189.423825,0,Yes,1,0,2,1
49,M,KAM57ZZ,Town,2,16-05-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,0:45:03,13,113.42,12946.99,7,670.81,0,Yes,1,2,2,1
43,M,55D8PT1,City,2,28-06-2016,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,5:43:59,22,53.15,19653.19,12,644.56,1,No,0,1,1,1
43,F,86JBLQG,City,2,15-11-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,1:37:22,13,298.16,46933.15,27,670.35,0,Yes,1,4,1,1
29,M,AN5Z7BX,City,5,15-05-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,23:33:05,6,314.42,23795.64,10,516.8187449,0,Yes,0,1,1,0
54,F,ZBAPLWZ,Town,4,08-03-2017,0,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,20:25:04,6,250.45,19300.11,12,715.44,1,No,0,1,2,0
27,F,S6PL43V,Town,1,07-03-2017,1,CID12093,Gift Vouchers/Coupons,?,Wi-Fi,13:46:53,13,85.65,18310.77,23,688.87,0,Yes,0,1,1,1
33,M,XGFA908,Village,3,10-01-2017,1,CID31488,Gift Vouchers/Coupons,Smartphone,Wi-Fi,22:53:41,16,495.0,20131.52,27,1035.919446,1,Yes,1,3,2,1
64,M,RIA0NC6,City,2,11-12-2017,1,CID19950,Without Offers,?,Wi-Fi,16:04:12,15,42.53,11755.26,22,114.5063434,1,No,0,1,1,1
45,M,3SEICIA,Village,2,20-07-2016,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,20:38:54,12,115.18,43726.23,16,709.98,0,Yes,1,4,2,0
56,M,Z4WB6L4,Town,0,30-05-2016,1,CID57777,Without Offers,Desktop,Mobile_Data,19:45:23,11,1105.18,44007.84,19,607.17,1,No,0,1,2,1
62,F,VV8RRF4,City,4,17-07-2015,0,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,14:41:09,10,32.51,14837.78,15,720.37,1,No,1,2,2,0
58,F,5K2CCZV,,0,16-04-2017,1,CID4222,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12:03:46,12,147.61,9740.08,26,628.07,0,Yes,0,1,2,0
26,F,GN0DLHN,Town,4,26-05-2016,1,CID47505,Without Offers,Smartphone,Mobile_Data,23:34:29,13,622.2,6052.05,7,783.43,1,Yes,0,1,0,0
50,F,LA1ZGE7,Town,4,21-02-2017,0,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,20:45:33,15,171.41,21971.6,2,747.06,0,Yes,1,0,0,0
11,M,LIATWAP,Town,0,04-08-2015,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,16:51:18,12,204.23,7629.77,9,512.04,1,No,0,1,2,1
61,F,KEPMPL1,,5,25-05-2015,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,2:25:08,20,32.25,77812.63,-13.06107949,605.2821699,0,Yes,1,2,0,0
53,M,EQPCT3G,Village,1,18-05-2015,1,CID59343,Gift Vouchers/Coupons,?,Mobile_Data,16:22:58,19,45.84,8103.7,23,679.97,0,Yes,1,4,1,1
37,M,MANT2RB,City,1,20-10-2015,0,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,3:29:06,20,52.03,34491.55,22,666.43,0,Yes,0,1,2,1
44,F,J5SGQLO,,3,06-08-2016,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,6:23:00,14,143.95,9972.6,15,678.69,1,No,0,1,1,1
26,F,XRPOPJK,Town,1,02-03-2017,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:50:08,19,68.56,44813.3,29,577.01,1,No,1,3,2,1
34,F,4QFPJPK,Village,4,08-04-2016,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,0:03:43,7,126.95,33449.32,25,547.6718554,0,Yes,1,0,2,0
44,F,F6VW1C2,Town,2,14-04-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,16:25:12,6,81.32,1089.86,7,756.91,0,Yes,0,1,2,0
19,F,EUU5T16,Town,5,04-09-2016,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,2:03:25,12,224.12,35797.93,23,1088.954919,1,No,0,1,2,0
18,M,PE70RGK,City,5,08-06-2017,1,CID18790,Gift Vouchers/Coupons,?,Mobile_Data,12:03:36,16,295.0,36407.42,13,717.21,1,No,0,1,2,0
64,M,FF306Y2,Town,5,01-07-2015,1,CID49472,Without Offers,Both,Fiber_Optic,1:24:39,9,665.32,18966.34,7,700.38,0,Yes,1,2,0,0
58,M,PW5ON11,Town,2,02-12-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,10:06:12,4,467.61,48033.21,26,707.62,1,Yes,1,2,2,0
35,M,CAEFAKQ,City,0,05-10-2015,0,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,18:48:16,19,207.26,16012.47,9,511.02,1,Yes,0,1,2,1
10,F,8VTBBLF,Town,2,08-11-2016,1,CID51840,Gift Vouchers/Coupons,?,Mobile_Data,19:41:23,19,33.35,29105.26,10,458.1680183,1,No,0,1,2,0
21,M,I94RMWZ,City,5,29-01-2015,0,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,4:35:45,15,85.07,32477.72,29,720.11,1,No,0,1,2,0
60,F,OOXFEOD,City,5,30-03-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,18:26:02,15,280.54,1421.84,6,162.767718,1,Yes,1,0,2,0
49,F,XKNKFON,Village,2,05-11-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12:16:36,13,129.03,15204.7,23,374.4904487,1,No,0,1,2,1
62,M,QAA1BO0,Town,0,07-11-2017,1,CID45010,Credit/Debit Card Offers,Desktop,Fiber_Optic,13:23:03,12,211.84,42347.49,14,657.32,1,No,0,1,2,1
21,F,PUAJAHB,City,2,13-02-2016,0,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,2:42:28,24,279.45,7833.51,27,662.52,0,Yes,0,1,2,1
55,F,U96OVBU,City,2,12-12-2017,1,CID53467,Without Offers,?,Mobile_Data,3:33:11,13,1227.654536,5576.82,24,686.09,0,Yes,1,3,2,1
10,M,APJY3OQ,City,1,14-08-2015,1,CID57689,Without Offers,Desktop,Mobile_Data,4:06:43,8,34.65,7297.8,22,1218.691061,1,No,1,4,2,1
11,M,A3FSSHW,Village,4,12-04-2017,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,7:32:19,8,273.59,91367.93,17,766.91,1,Yes,1,2,0,0
41,F,JSD5FHU,Town,4,23-12-2015,1,CID16732,Gift Vouchers/Coupons,Desktop,Mobile_Data,21:59:45,16,186.77,19984.45,18,777.48,1,No,1,4,2,0
33,M,A0U985R,Village,1,26-06-2015,1,CID55029,Gift Vouchers/Coupons,Smartphone,Mobile_Data,1:39:42,9,245.25,38235.53,26,883.6220936,0,Yes,0,1,2,1
13,M,K5IJA3H,City,1,05-09-2016,1,CID2231,Without Offers,Desktop,Mobile_Data,15:28:45,15,85.45,29714.13,19,647.17,1,No,1,3,2,1
59,M,TGGMKQU,Town,0,09-03-2017,1,CID34619,Without Offers,Desktop,Wi-Fi,6:11:52,8,85.34,38716.94,27,588.28,1,No,0,1,2,1
21,M,ITXIOMV,City,2,14-07-2015,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,6:47:07,19,186.7,19364.64,13,972.4461545,1,No,1,2,2,1
46,M,SF7UF0V,Town,4,25-05-2015,1,CID25373,Credit/Debit Card Offers,Both,Mobile_Data,1:11:46,18,407.93,11102.62,27,765.21,0,Yes,0,1,1,0
12,F,D5KVXI4,,1,09-08-2016,0,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,9:44:56,15,981.1928524,6222.38,23,692.9,1,No,1,4,2,1
24,F,DFY0T4Y,City,4,10-10-2017,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,6:52:32,17,204.16,31236.04,28,768.7,1,No,1,2,2,0
22,M,TJRA7I3,Town,0,01-05-2017,0,xxxxxxxx,Without Offers,?,Mobile_Data,16:25:45,6,92.58,40607.06,22,570.83,1,No,1,0,2,1
29,F,AE1NI5Y,Town,4,24-09-2016,1,CID19877,Credit/Debit Card Offers,Both,Mobile_Data,6:57:18,17,404.16,1342.91,1,804.54,1,Yes,1,0,0,0
42,F,QK733BX,Town,4,16-05-2015,1,CID58849,Credit/Debit Card Offers,Smartphone,Wi-Fi,20:55:08,16,224.4,37124.15,22,731.94,0,Yes,0,1,2,0
19,M,JIO22UY,Town,1,30-08-2015,1,CID31479,Credit/Debit Card Offers,Desktop,Mobile_Data,2:26:34,16,120.9,21471.71,22,803.728918,0,Yes,0,1,1,1
55,F,59SRC59,Town,4,02-03-2017,0,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,8:24:19,10,170.94,33078.33,28,703.52,1,No,0,1,1,0
51,F,6VN89MW,Town,1,04-05-2015,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,4:21:15,3,52.34,20343.39,14,662.98,1,No,1,4,1,1
36,F,09XB2DS,Village,3,09-03-2017,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,22:01:40,11,482.19,2191.75,32.19093588,763.88,0,Yes,0,1,0,0
57,M,GOPZMCH,City,3,07-11-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,2:20:13,5,397.88,5508.07,26,1304.403148,1,No,1,0,2,0
40,M,LE0BVOC,City,3,03-04-2016,0,xxxxxxxx,Gift Vouchers/Coupons,?,Fiber_Optic,10:39:29,24,345.2,39295.84,9,765.23,0,Yes,1,4,1,0
58,M,B9P0FVN,Village,3,24-10-2015,1,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,4:34:46,10,150.87,37359.82,6,794.89,1,No,1,4,2,0
50,F,2TKAKZK,City,0,01-03-2016,1,xxxxxxxx,Without Offers,Desktop,Wi-Fi,16:23:11,20,33.07,20444.85,14,1165.815721,0,Yes,0,1,2,1
16,F,DVZ1D90,City,5,16-07-2016,1,CID27396,Credit/Debit Card Offers,Desktop,Fiber_Optic,19:54:32,19,818.24,22452.34,13,307.7985944,1,No,0,1,2,0
56,F,HEV7B5O,City,1,19-05-2015,1,CID50067,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:29:46,21,172.26,14068.52,21,652.53,1,No,0,1,2,1
28,F,QM3U6DX,Town,3,21-02-2016,1,CID5020,Gift Vouchers/Coupons,Smartphone,Mobile_Data,9:36:13,11,57.0,5315.68,21,682.17,0,Yes,1,0,2,1
46,F,CD4QQVP,Town,5,02-04-2016,1,CID48780,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:54:32,14,80.1,35914.04,13,1123.602989,1,No,0,1,1,0
33,M,WPU5NQX,Town,1,05-08-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,6:10:59,15,131.39,48489.84,9,672.23,0,Yes,0,1,1,1
44,F,DS0AAF8,,2,14-11-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,6:46:41,19,33.02,11399.25,7,626.77,0,Yes,0,1,2,1
51,F,25CEHS8,City,4,14-06-2017,0,xxxxxxxx,Without Offers,Desktop,Mobile_Data,22:04:06,16,96.47,65036.58,44.67852041,762.37,0,Yes,1,4,0,0
53,M,XUHIRIG,Town,0,22-10-2016,1,CID6633,Credit/Debit Card Offers,Desktop,Fiber_Optic,5:21:36,13,73.36,43001.06,-1.049017764,529.76,0,Yes,1,3,2,1
31,F,ETI5O1Y,Town,0,14-05-2017,1,CID14067,Credit/Debit Card Offers,Desktop,Fiber_Optic,3:15:59,12,91.71,28744.97,23,511.55,0,Yes,0,1,2,1
36,M,OU354BP,City,5,19-10-2017,0,xxxxxxxx,Without Offers,?,Fiber_Optic,17:19:34,11,62.8,17349.79,5,748.27,1,No,1,0,2,0
16,F,EPBDC2E,,0,15-01-2015,0,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,0:21:10,11,260.39,31386.95,9,165.9874399,1,No,0,1,2,1
44,M,SYDMCV9,City,1,02-03-2015,1,CID56910,Gift Vouchers/Coupons,Desktop,Fiber_Optic,14:08:40,5,118.09,34220.71,43.17199225,585.11,0,Yes,0,1,2,1
58,M,J40NATQ,Village,1,17-04-2016,1,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,3:43:16,13,247.05,27888.49,28,614.63,1,No,0,1,2,1
51,M,LIG9GUM,City,5,10-03-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,20:27:03,3,108.67,37422.06,8,812.31,0,Yes,0,1,0,0
58,M,NUTK6MN,,1,14-04-2016,0,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,10:11:20,15,208.11,49169.43,7,629.66,0,Yes,0,1,1,1
58,F,OWS4G5E,City,1,23-10-2017,0,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,20:13:31,16,34.14,31131.9,11,687.84,0,Yes,1,3,2,1
38,M,GUR5NK3,Village,5,22-04-2015,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,7:04:50,5,91.65,22112.05,5,1379.667753,1,No,1,3,0,0
42,F,HEOXHTV,City,1,17-07-2017,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,23:13:16,5,122.3,7655.08,13,425.8254862,0,Yes,1,3,2,1
52,M,X3BQR0K,,5,09-10-2015,0,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,10:08:05,16,52.6,3697.52,25,1041.285191,0,Yes,1,0,2,0
39,M,5D6PMWD,,0,11-12-2016,1,CID31892,Credit/Debit Card Offers,Desktop,Wi-Fi,0:50:30,8,819.02,26376.78,7,694.08,0,Yes,0,1,2,1
36,F,9RLQ8PD,Town,3,06-09-2017,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,8:25:00,14,42.52,36555.05,6,687.09,0,Yes,1,3,2,1
38,M,KBMBHIO,Village,3,25-07-2016,1,CID18103,Gift Vouchers/Coupons,Smartphone,Wi-Fi,23:35:50,9,30.97,35610.7,17,695.37,1,No,0,1,2,1
16,F,0QYP6OC,Town,2,02-04-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,21:37:29,17,85.37,36034.86,24,624.91,0,Yes,1,2,2,1
62,F,7DUUF7Q,City,0,16-04-2016,1,CID54424,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13:52:34,8,30.32,49110.99,13,605.78,0,Yes,0,1,2,1
57,M,VMT0S3P,City,3,25-08-2015,0,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,0:17:22,11,110.59,42787.11,10,650.96,1,No,1,0,2,1
63,M,M7XMFU4,Town,1,02-02-2017,1,CID32788,Without Offers,Desktop,Mobile_Data,1:32:13,11,276.8,25523.91,16,572.12,1,No,1,3,2,1
52,M,Q1NY9Q7,City,3,15-12-2015,1,CID35433,Gift Vouchers/Coupons,Desktop,Mobile_Data,13:05:24,14,94.69,2395.73,18,780.19,1,No,1,2,2,0
44,M,OL4QB5M,Village,2,29-08-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,9:52:19,8,245.61,23150.43,26,1158.618177,0,Yes,1,2,2,1
11,M,DHZUK0Z,Town,1,25-09-2017,1,CID23258,Without Offers,?,Mobile_Data,8:34:39,6,197.49,34211.32,20,580.15,1,No,1,3,1,1
36,F,5QYN2KH,,0,17-10-2015,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,19:00:34,26,160.9,12702.07,12,717.29,0,Yes,1,3,2,1
53,F,S193HJM,City,3,29-09-2016,1,CID45834,Gift Vouchers/Coupons,?,Fiber_Optic,8:16:38,3,1454.28,28039.17,17,808.9,0,Yes,0,1,0,0
48,M,AMVN104,Village,1,19-02-2016,1,CID53422,Gift Vouchers/Coupons,Desktop,Fiber_Optic,23:34:51,9,1199.648217,15699.27,23,695.19,1,No,1,0,1,0
42,F,J176LSX,City,2,02-11-2017,1,CID15612,Without Offers,Both,Wi-Fi,21:03:49,17,454.95,12789.44,9,385.6216789,1,No,0,1,2,1
47,F,85B9NL2,Town,0,01-09-2016,0,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,17:30:49,17,49.89,23445.83,17,501.84,0,Yes,0,1,1,1
50,F,2LILD04,,0,11-03-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17:37:42,14,46.79,30832.38,11,624.38,1,No,0,1,2,1
39,M,O132XZ9,Town,1,02-12-2015,1,CID53464,Credit/Debit Card Offers,Desktop,Mobile_Data,21:07:04,22,262.98,38028.23,27,690.65,1,No,1,4,2,1
27,F,5K7EAEJ,,3,12-01-2017,0,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,20:27:00,7,30.07,15681.9,14,752.84,0,Yes,0,1,2,0
11,F,7C2E877,City,4,08-12-2015,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,9:50:38,12,39.02,6302.59,25,714.1,0,Yes,1,4,1,0
17,M,GCLWA3L,City,3,25-07-2017,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,14:05:15,6,158.6,18407.79,4,807.06,1,No,1,4,0,0
45,F,5YPIC42,Village,0,31-08-2017,1,CID37708,Without Offers,Desktop,Mobile_Data,3:36:42,24,102.58,26755.59,16,100.7955573,0,Yes,0,1,2,1
60,F,5N9JJ4E,City,0,13-04-2017,0,xxxxxxxx,Without Offers,Both,Mobile_Data,14:04:37,11,207.96,33123.95,21,598.19,1,No,0,1,2,1
31,F,Q1S8KFQ,Town,3,08-11-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,9:59:20,5,344.35,39257.71,16,702.73,1,No,1,0,2,1
19,F,Y0RHX7C,,4,08-08-2016,1,CID52788,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8:07:45,16,31.08,44034.61,29,782.8,0,Yes,0,1,2,0
25,F,CVY242O,Town,3,23-10-2016,1,CID52404,Without Offers,Smartphone,Wi-Fi,5:42:36,18,78.3,35160.57,23,1090.557463,0,Yes,0,1,2,0
15,F,4V8ECDL,City,2,28-06-2015,1,CID47742,Credit/Debit Card Offers,Smartphone,Wi-Fi,17:31:41,22,246.68,35861.46,18,711.01,0,Yes,1,3,2,1
43,F,252DUJ6,,0,13-08-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,17:10:50,13,43.17,28721.74,5,576.43,1,No,1,0,1,1
32,F,PFPKEL4,City,1,06-01-2017,1,CID46366,Credit/Debit Card Offers,Smartphone,Mobile_Data,5:41:34,21,42.73,31590.79,15,693.18,1,No,1,3,2,1
39,M,QB1JUPF,Town,2,30-10-2015,1,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,6:12:04,19,31.73,71909.17,8,750.47,1,No,1,4,0,0
18,F,BYL27Q4,Village,2,17-08-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Both,Wi-Fi,12:06:26,4,467.13,3619.34,29,372.7260112,1,Yes,0,1,2,0
26,M,UGVTU4I,,1,05-08-2015,0,xxxxxxxx,Without Offers,Both,Fiber_Optic,6:39:22,15,274.29,1359.49,26,643.42,1,Yes,0,1,2,1
54,M,N1W3WO9,City,4,09-03-2015,1,CID12588,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16:48:10,12,328.82,7610.22,10,724.3,0,Yes,0,1,2,0
51,M,EA63D48,City,4,15-02-2017,1,CID56291,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8:58:56,17,284.48,16344.26,18,711.58,0,Yes,1,4,2,0
56,F,5SAM568,Town,3,06-11-2016,1,CID51922,Without Offers,Desktop,Fiber_Optic,5:01:16,19,63.91,21405.62,23,635.37,0,Yes,0,1,1,1
62,M,VMUVU73,City,5,05-06-2017,0,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,5:52:36,2,114.91,46021.22,6,706.32,0,Yes,1,4,2,0
33,M,81BA27Z,Town,5,29-08-2017,0,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,4:30:09,17,336.69,9933.5,23,729.96,1,No,0,1,2,0
40,M,K3BRMAJ,City,5,19-05-2017,1,CID42474,Without Offers,Desktop,Wi-Fi,23:31:53,11,562.67,33699.56,15,176.1325446,0,Yes,1,2,0,0
53,M,92BSV6Z,City,3,01-11-2017,1,CID41902,Without Offers,?,Mobile_Data,22:11:16,10,205.73,16719.29,22,770.67,0,Yes,0,1,2,0
13,M,4TTC7QZ,City,1,03-01-2016,1,CID39544,Without Offers,Smartphone,Wi-Fi,22:11:07,12,974.01,30999.8,14,253.4680173,0,Yes,0,1,2,1
28,F,4Q8L1U2,City,3,04-08-2015,1,CID35944,Credit/Debit Card Offers,Smartphone,Fiber_Optic,16:42:33,14,75.24,15647.52,23,705.45,0,Yes,0,1,2,1
40,M,Y1RXKXG,Town,3,29-02-2016,1,CID549,Without Offers,Both,Wi-Fi,13:28:15,5,559.51,52407.86,10,809.05,0,Yes,0,1,0,0
57,M,ZL26Y0M,Town,4,16-09-2015,1,CID30121,Credit/Debit Card Offers,Both,Wi-Fi,5:50:52,13,280.71,75303.82,5,1040.01689,0,Yes,1,2,0,0
60,F,5FUK8LM,City,0,28-02-2017,1,CID3476,Credit/Debit Card Offers,Smartphone,Wi-Fi,5:13:34,15,197.64,3500.37,28,1135.76899,1,No,0,1,1,1
58,F,DDTHLCY,,0,25-10-2017,1,CID10665,Credit/Debit Card Offers,Smartphone,Fiber_Optic,23:19:41,16,125.05,33415.66,15,671.02,1,No,0,1,2,1
35,F,92FZ4MO,Town,2,16-05-2015,1,CID3881,Credit/Debit Card Offers,?,Mobile_Data,2:37:03,11,583.48,14192.82,7,708.66,1,No,0,1,2,1
56,F,VXR4IWV,,3,08-09-2015,1,CID18082,Without Offers,Both,Fiber_Optic,1:27:58,12,851.2,9304.47,27,610.2,1,Yes,0,1,2,1
41,M,ACWL878,Town,5,29-01-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5:24:19,11,98.35,96880.5,18,763.69,1,No,1,4,0,0
54,F,979O6GF,Town,0,18-04-2015,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,6:03:13,2,356.51,23456.64,16,605.54,1,No,0,1,2,1
47,F,3FPZRLT,Village,0,31-03-2017,1,CID54061,Gift Vouchers/Coupons,Desktop,Wi-Fi,16:32:07,14,39.03,1056.85,6,582.52,1,No,1,0,2,1
39,M,RQTSORZ,,1,24-06-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13:28:44,26,157.84,8562.23,25,573.2,1,No,0,1,2,1
30,M,SIRL6M2,City,4,12-09-2016,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,17:36:25,10,106.52,62446.29,6,813.25,0,Yes,0,1,0,0
41,F,RT3I1ML,Town,0,10-07-2017,0,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,12:39:45,18,177.92,22871.44,25,370.8247695,0,Yes,0,1,2,1
26,F,FEX74C9,City,5,24-09-2015,0,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,4:51:03,19,94.13,47537.92,24,714.71,1,No,1,3,1,0
51,M,J0FY3YX,Village,0,16-02-2017,1,CID44484,Credit/Debit Card Offers,?,Wi-Fi,18:53:45,14,146.4,40738.96,14,641.24,0,Yes,0,1,2,1
56,M,NU4694U,City,5,05-05-2017,1,CID12399,Gift Vouchers/Coupons,?,Fiber_Optic,17:52:29,11,905.31,65510.74,4,742.19,1,Yes,1,2,0,0
15,F,GYVQR5Q,City,1,13-08-2016,0,xxxxxxxx,Without Offers,?,Mobile_Data,3:58:05,13,65.51,30017.16,22,615.59,1,No,1,3,1,1
20,M,HMEFBCW,Town,0,16-04-2017,1,CID33889,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:11:40,20,134.62,20565.45,10,546.01,1,No,0,1,2,1
23,M,MFI2RM4,City,1,01-12-2017,1,CID51553,Credit/Debit Card Offers,Both,Mobile_Data,5:35:26,2,116.02,3801.87,-16.29992418,1219.987446,1,Yes,1,2,2,1
57,M,558H4QP,Village,4,18-11-2015,1,CID47216,Gift Vouchers/Coupons,Desktop,Fiber_Optic,6:17:24,11,54.0,42001.8,5,840.13,1,No,0,1,0,0
54,F,Q205D1O,Town,1,18-02-2016,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,7:33:48,11,141.17,46990.87,11,668.27,1,No,0,1,2,1
39,M,DN97GUF,Town,5,27-10-2015,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,17:18:37,26,34.18,8287.07,16,720.12,0,Yes,1,4,2,0
37,F,6NPDY1A,Town,0,25-03-2017,1,CID49863,Gift Vouchers/Coupons,?,Mobile_Data,15:58:02,18,119.2,42156.98,16,521.93,1,No,0,1,2,1
20,F,IFBMAHU,Town,1,17-06-2015,1,CID6887,Credit/Debit Card Offers,?,Mobile_Data,12:35:15,3,536.11,15359.73,-13.69749686,600.48,0,Yes,0,1,2,1
46,F,VJAZ9JZ,,1,12-06-2015,1,CID28507,Gift Vouchers/Coupons,Desktop,Wi-Fi,10:22:46,14,536.57,6154.51,15,570.31,1,Yes,0,1,2,1
25,F,0PXEC56,,2,16-07-2016,1,CID32905,Gift Vouchers/Coupons,Desktop,Mobile_Data,9:54:40,20,87.02,2302.89,13,647.93,1,No,0,1,2,1
53,M,C6JK5W6,Town,1,28-10-2016,0,xxxxxxxx,Credit/Debit Card Offers,Both,Fiber_Optic,5:11:20,14,485.38,42513.83,9,716.54,0,Yes,1,0,2,1
28,F,AFBGKK2,Town,4,20-05-2017,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10:09:19,11,41.47,19107.68,14,742.35,1,No,1,0,2,0
55,F,C188G1Y,Town,2,20-06-2017,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,4:39:57,18,80.76,8815.31,13,661.42,1,No,1,4,1,1
35,M,LVSCZD1,Town,1,31-05-2015,1,CID11295,Gift Vouchers/Coupons,?,Wi-Fi,0:21:34,10,533.3,30462.44,28,523.56,1,No,0,1,2,1
12,M,A0I6TH0,Town,0,17-01-2017,1,CID13640,Gift Vouchers/Coupons,Smartphone,Mobile_Data,17:19:54,14,142.08,1019.99,11,691.52,1,No,0,1,2,1
19,M,TJO25OB,Town,3,13-06-2016,1,CID23333,Without Offers,Desktop,Fiber_Optic,3:02:52,15,32.06,16432.5,28,726.91,1,No,0,1,2,0
29,M,2N1FK23,,5,07-08-2015,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,1:55:47,14,306.82,48915.7,8,709.15,0,Yes,0,1,2,0
